,rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8291,8292,7697568,K01829.02,FALSE POSITIVE,FALSE POSITIVE,0.408,0,1,1,0,10.3482112,0.0001013,-0.0001013,136.63763,0.0071,-0.0071,0.093,0.3991,-0.093,2.089,0.561,-0.561,255.1,88.2,-88.2,1.29,0.47,-0.11,724.0,64.97,73.01,-16.14,8.4,2.0,q1_q17_dr24_tce,5383.0,184.0,-150.0,4.543,0.038,-0.038,0.822,0.298,-0.068,296.52243,43.363369,15.911
8293,8294,4851195,K07553.01,FALSE POSITIVE,FALSE POSITIVE,0.408,1,0,0,1,374.514471,0.001812,-0.001812,430.92258,0.0034,-0.0034,1.0492,6.248,-0.4359,6.629,0.211,-0.211,440520.0,17830.0,-17830.0,139.55,72.49,-17.28,295.0,1.79,2.79,-0.64,130.3,1.0,q1_q17_dr24_tce,6446.0,165.0,-277.0,4.381,0.071,-0.071,1.155,0.6,-0.143,295.82941,39.912182,14.505
8294,8295,4862924,K07554.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,482.62011,0.03127,-0.03127,314.0653,0.0387,-0.0387,0.1786,0.2704,-0.1786,12.86,1.3,-1.3,324.0,46.1,-46.1,1.98,1.02,-0.21,263.0,1.12,1.72,-0.34,8.1,1.0,q1_q17_dr24_tce,6315.0,167.0,-217.0,4.388999999999999,0.071,-0.071,1.095,0.558,-0.117,298.27673,39.903851,14.519
8295,8296,5024414,K07555.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.5259247459999998,9.965e-06,-9.965e-06,132.69258,0.00613,-0.00613,0.208,0.238,-0.208,1.955,0.194,-0.194,74.1,7.5,-7.5,8.86,0.51,-2.86,3786.0,48691.77,8384.28,-28645.43,11.9,1.0,q1_q17_dr25_tce,5000.0,60.0,-130.0,2.81,0.03,-0.03,10.533,0.602,-3.409,295.31638,40.18652,12.705
8296,8297,5268955,K07557.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,12.82252496,9.856e-05,-9.856e-05,137.3868282,0.0131,-0.0131,0.706,0.238,-0.572,18.8,2.3,-2.3,19268.0,3722.0,-3722.0,20.12,4.42,-4.87,915.0,165.54,106.25,-80.45,13.7,1.0,q1_q17_dr25_tce,5845.0,146.0,-161.0,4.178,0.21,-0.21,1.352,0.297,-0.327,289.96063,40.479839,11.863
8297,8298,5271090,K07558.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,10.1551587,0.0001499,-0.0001499,139.292,0.0109,-0.0109,0.2256,0.2843,-0.2254,1.802,0.389,-0.389,141.6,45.9,-45.9,0.94,0.42,-0.11,721.0,63.73,90.03,-18.59,6.8,1.0,q1_q17_dr24_tce,5275.0,185.0,-144.0,4.505,0.083,-0.083,0.796,0.358,-0.088,290.56674,40.449902,15.413
8298,8299,5444276,K07559.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,0.7089654609999999,8.703e-06,-8.703e-06,132.20988,0.00986,-0.00986,0.6201,0.3426,-0.3945,3.946,0.507,-0.507,87.2,8.5,-8.5,1.13,0.6,-0.13,2417.0,8061.29,12686.44,-2526.35,13.1,1.0,q1_q17_dr24_tce,6528.0,155.0,-217.0,4.3839999999999995,0.063,-0.063,1.155,0.613,-0.131,290.48553,40.630699,12.798
8299,8300,5598645,K07560.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,0.648772102,4.225e-06,-4.225e-06,131.74503,0.00511,-0.00511,0.368,0.116,-0.368,2.614,0.168,-0.168,31.1,2.5,-2.5,2.6,0.48,-0.64,3758.0,47393.05,22372.84,-21954.52,15.0,1.0,q1_q17_dr25_tce,4973.0,59.0,-69.0,3.208,0.174,-0.11599999999999999,4.708,0.871,-1.161,283.78002999999995,40.818779,11.693
8302,8303,5908086,K07563.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.93705132,1.317e-05,-1.317e-05,132.0238,0.0111,-0.0111,0.773,0.065,-0.541,4.808,0.358,-0.358,51.5,3.8,-3.8,6.09,1.19,-3.33,5094.0,159426.96,90900.55,-130414.53,17.3,1.0,q1_q17_dr25_tce,6691.0,160.0,-200.0,3.088,0.586,-0.10300000000000001,7.781,1.519,-4.254,299.64996,41.113209000000005,11.674000000000001
8303,8304,6307243,K07564.01,FALSE POSITIVE,FALSE POSITIVE,0.408,1,0,0,0,451.86579,0.02203,-0.02203,254.8061,0.0325,-0.0325,0.379,0.0921,-0.3789,13.47,0.911,-0.911,80.0,8.5,-8.5,1.85,0.86,-0.39,464.0,10.97,15.56,-5.28,12.0,1.0,q1_q17_dr24_tce,9024.0,276.0,-398.0,4.154,0.11900000000000001,-0.11900000000000001,2.005,0.93,-0.425,297.67926,41.613731,11.02
